herb_id,positive_degree,candidate_target_count,unique_negative_capacity,requested_negative_count,capacity_deficit,saturation_flag,exact_per_herb_quota_possible,duplicate_negative_count,false_negative_against_train_labels
H0816,330,2309,1979,330,0,False,True,0,0
H0817,46,2309,2263,46,0,False,True,0,0
H0818,351,2309,1958,351,0,False,True,0,0
H0819,339,2309,1970,339,0,False,True,0,0
H0821,330,2309,1979,330,0,False,True,0,0
H0822,35,2309,2274,35,0,False,True,0,0
H0824,12,2309,2297,12,0,False,True,0,0
H0825,54,2309,2255,54,0,False,True,0,0
H0827,65,2309,2244,65,0,False,True,0,0
H0829,20,2309,2289,20,0,False,True,0,0
H0830,13,2309,2296,13,0,False,True,0,0
H0831,3,2309,2306,3,0,False,True,0,0
H0832,32,2309,2277,32,0,False,True,0,0
H0833,4,2309,2305,4,0,False,True,0,0
H0834,13,2309,2296,13,0,False,True,0,0
H0835,12,2309,2297,12,0,False,True,0,0
H0836,12,2309,2297,12,0,False,True,0,0
H0837,15,2309,2294,15,0,False,True,0,0
H0839,44,2309,2265,44,0,False,True,0,0
H0840,13,2309,2296,13,0,False,True,0,0
H0841,56,2309,2253,56,0,False,True,0,0
H0843,22,2309,2287,22,0,False,True,0,0
H0844,179,2309,2130,179,0,False,True,0,0
H0845,11,2309,2298,11,0,False,True,0,0
H0846,56,2309,2253,56,0,False,True,0,0
H0848,259,2309,2050,259,0,False,True,0,0
H0849,65,2309,2244,65,0,False,True,0,0
H0850,71,2309,2238,71,0,False,True,0,0
H0852,120,2309,2189,120,0,False,True,0,0
H0853,307,2309,2002,307,0,False,True,0,0
H0854,125,2309,2184,125,0,False,True,0,0
H0855,328,2309,1981,328,0,False,True,0,0
H0856,54,2309,2255,54,0,False,True,0,0
H0857,54,2309,2255,54,0,False,True,0,0
H0858,54,2309,2255,54,0,False,True,0,0
H0859,319,2309,1990,319,0,False,True,0,0
H0860,54,2309,2255,54,0,False,True,0,0
H0861,1,2309,2308,1,0,False,True,0,0
H0862,6,2309,2303,6,0,False,True,0,0
H0863,25,2309,2284,25,0,False,True,0,0
H0864,23,2309,2286,23,0,False,True,0,0
H0865,6,2309,2303,6,0,False,True,0,0
H0866,38,2309,2271,38,0,False,True,0,0
H0867,20,2309,2289,20,0,False,True,0,0
H0868,114,2309,2195,114,0,False,True,0,0
H0869,139,2309,2170,139,0,False,True,0,0
H0870,14,2309,2295,14,0,False,True,0,0
H0871,317,2309,1992,317,0,False,True,0,0
H0872,136,2309,2173,136,0,False,True,0,0
H0873,11,2309,2298,11,0,False,True,0,0
H0878,138,2309,2171,138,0,False,True,0,0
H0879,26,2309,2283,26,0,False,True,0,0
H0880,17,2309,2292,17,0,False,True,0,0
H0881,81,2309,2228,81,0,False,True,0,0
H0882,7,2309,2302,7,0,False,True,0,0
H0884,2,2309,2307,2,0,False,True,0,0
H0886,212,2309,2097,212,0,False,True,0,0
H0887,212,2309,2097,212,0,False,True,0,0
H0888,132,2309,2177,132,0,False,True,0,0
H0889,212,2309,2097,212,0,False,True,0,0
H0890,212,2309,2097,212,0,False,True,0,0
H0891,89,2309,2220,89,0,False,True,0,0
H0892,139,2309,2170,139,0,False,True,0,0
H0893,130,2309,2179,130,0,False,True,0,0
H0896,1,2309,2308,1,0,False,True,0,0
H0898,8,2309,2301,8,0,False,True,0,0
H0899,8,2309,2301,8,0,False,True,0,0
H0900,28,2309,2281,28,0,False,True,0,0
H0902,265,2309,2044,265,0,False,True,0,0
H0903,59,2309,2250,59,0,False,True,0,0
H0904,17,2309,2292,17,0,False,True,0,0
H0905,1,2309,2308,1,0,False,True,0,0
H0906,109,2309,2200,109,0,False,True,0,0
H0908,220,2309,2089,220,0,False,True,0,0
H0909,205,2309,2104,205,0,False,True,0,0
H0910,205,2309,2104,205,0,False,True,0,0
H0911,4,2309,2305,4,0,False,True,0,0
H0912,205,2309,2104,205,0,False,True,0,0
H0913,205,2309,2104,205,0,False,True,0,0
H0914,17,2309,2292,17,0,False,True,0,0
H0916,17,2309,2292,17,0,False,True,0,0
H0917,1,2309,2308,1,0,False,True,0,0
H0918,210,2309,2099,210,0,False,True,0,0
H0921,25,2309,2284,25,0,False,True,0,0
H0923,4,2309,2305,4,0,False,True,0,0
H0925,148,2309,2161,148,0,False,True,0,0
H0926,402,2309,1907,402,0,False,True,0,0
H0927,401,2309,1908,401,0,False,True,0,0
H0928,401,2309,1908,401,0,False,True,0,0
H0929,10,2309,2299,10,0,False,True,0,0
H0930,26,2309,2283,26,0,False,True,0,0
H0931,26,2309,2283,26,0,False,True,0,0
H0933,32,2309,2277,32,0,False,True,0,0
H0934,24,2309,2285,24,0,False,True,0,0
H0935,1,2309,2308,1,0,False,True,0,0
H0936,5,2309,2304,5,0,False,True,0,0
H0938,399,2309,1910,399,0,False,True,0,0
H0939,73,2309,2236,73,0,False,True,0,0
H0943,45,2309,2264,45,0,False,True,0,0
H0944,251,2309,2058,251,0,False,True,0,0
H0945,11,2309,2298,11,0,False,True,0,0
H0946,3,2309,2306,3,0,False,True,0,0
H0947,3,2309,2306,3,0,False,True,0,0
H0948,1,2309,2308,1,0,False,True,0,0
H0949,475,2309,1834,475,0,False,True,0,0
H0950,470,2309,1839,470,0,False,True,0,0
H0951,470,2309,1839,470,0,False,True,0,0
H0952,251,2309,2058,251,0,False,True,0,0
H0953,1,2309,2308,1,0,False,True,0,0
H0954,46,2309,2263,46,0,False,True,0,0
H0955,341,2309,1968,341,0,False,True,0,0
H0956,329,2309,1980,329,0,False,True,0,0
H0958,369,2309,1940,369,0,False,True,0,0
H0959,25,2309,2284,25,0,False,True,0,0
H0960,354,2309,1955,354,0,False,True,0,0
H0961,49,2309,2260,49,0,False,True,0,0
H0962,69,2309,2240,69,0,False,True,0,0
H0963,92,2309,2217,92,0,False,True,0,0
H0964,20,2309,2289,20,0,False,True,0,0
H0965,223,2309,2086,223,0,False,True,0,0
H0967,318,2309,1991,318,0,False,True,0,0
H0968,82,2309,2227,82,0,False,True,0,0
H0969,11,2309,2298,11,0,False,True,0,0
H0972,200,2309,2109,200,0,False,True,0,0
H0973,176,2309,2133,176,0,False,True,0,0
H0974,344,2309,1965,344,0,False,True,0,0
H0975,344,2309,1965,344,0,False,True,0,0
H0976,48,2309,2261,48,0,False,True,0,0
H0977,78,2309,2231,78,0,False,True,0,0
H0978,222,2309,2087,222,0,False,True,0,0
H0979,158,2309,2151,158,0,False,True,0,0
H0980,158,2309,2151,158,0,False,True,0,0
H0981,76,2309,2233,76,0,False,True,0,0
H0982,67,2309,2242,67,0,False,True,0,0
H0983,5,2309,2304,5,0,False,True,0,0
H0984,5,2309,2304,5,0,False,True,0,0
H0985,15,2309,2294,15,0,False,True,0,0
H0986,15,2309,2294,15,0,False,True,0,0
H0987,67,2309,2242,67,0,False,True,0,0
H0989,118,2309,2191,118,0,False,True,0,0
H0990,345,2309,1964,345,0,False,True,0,0
H0991,67,2309,2242,67,0,False,True,0,0
H0993,7,2309,2302,7,0,False,True,0,0
H0994,7,2309,2302,7,0,False,True,0,0
H0996,1,2309,2308,1,0,False,True,0,0
H0997,1,2309,2308,1,0,False,True,0,0
H0998,199,2309,2110,199,0,False,True,0,0
H0999,16,2309,2293,16,0,False,True,0,0
H1000,199,2309,2110,199,0,False,True,0,0
H1002,1,2309,2308,1,0,False,True,0,0
H1003,1,2309,2308,1,0,False,True,0,0
H1004,255,2309,2054,255,0,False,True,0,0
H1005,57,2309,2252,57,0,False,True,0,0
H1007,251,2309,2058,251,0,False,True,0,0
H1009,115,2309,2194,115,0,False,True,0,0
H1010,441,2309,1868,441,0,False,True,0,0
H1011,204,2309,2105,204,0,False,True,0,0
H1012,5,2309,2304,5,0,False,True,0,0
H1013,13,2309,2296,13,0,False,True,0,0
H1014,12,2309,2297,12,0,False,True,0,0
H1015,369,2309,1940,369,0,False,True,0,0
H1016,365,2309,1944,365,0,False,True,0,0
H1017,365,2309,1944,365,0,False,True,0,0
H1019,234,2309,2075,234,0,False,True,0,0
H1020,233,2309,2076,233,0,False,True,0,0
H1022,56,2309,2253,56,0,False,True,0,0
H1023,2,2309,2307,2,0,False,True,0,0
H1026,307,2309,2002,307,0,False,True,0,0
H1027,32,2309,2277,32,0,False,True,0,0
H1028,61,2309,2248,61,0,False,True,0,0
H1029,327,2309,1982,327,0,False,True,0,0
H1030,79,2309,2230,79,0,False,True,0,0
H1031,1,2309,2308,1,0,False,True,0,0
H1032,1,2309,2308,1,0,False,True,0,0
H1033,98,2309,2211,98,0,False,True,0,0
H1035,68,2309,2241,68,0,False,True,0,0
H1037,29,2309,2280,29,0,False,True,0,0
H1039,18,2309,2291,18,0,False,True,0,0
H1040,37,2309,2272,37,0,False,True,0,0
H1041,25,2309,2284,25,0,False,True,0,0
H1042,7,2309,2302,7,0,False,True,0,0
H1043,1,2309,2308,1,0,False,True,0,0
H1045,233,2309,2076,233,0,False,True,0,0
H1046,233,2309,2076,233,0,False,True,0,0
H1047,131,2309,2178,131,0,False,True,0,0
H1048,42,2309,2267,42,0,False,True,0,0
H1049,131,2309,2178,131,0,False,True,0,0
H1050,9,2309,2300,9,0,False,True,0,0
H1051,460,2309,1849,460,0,False,True,0,0
H1052,56,2309,2253,56,0,False,True,0,0
H1053,58,2309,2251,58,0,False,True,0,0
H1055,457,2309,1852,457,0,False,True,0,0
H1057,11,2309,2298,11,0,False,True,0,0
H1059,22,2309,2287,22,0,False,True,0,0
H1061,316,2309,1993,316,0,False,True,0,0
H1062,12,2309,2297,12,0,False,True,0,0
H1063,11,2309,2298,11,0,False,True,0,0
H1064,6,2309,2303,6,0,False,True,0,0
H1065,1,2309,2308,1,0,False,True,0,0
H1066,374,2309,1935,374,0,False,True,0,0
H1067,372,2309,1937,372,0,False,True,0,0
H1068,315,2309,1994,315,0,False,True,0,0
H1069,372,2309,1937,372,0,False,True,0,0
H1070,372,2309,1937,372,0,False,True,0,0
H1071,372,2309,1937,372,0,False,True,0,0
H1072,372,2309,1937,372,0,False,True,0,0
H1073,372,2309,1937,372,0,False,True,0,0
H1074,372,2309,1937,372,0,False,True,0,0
H1075,372,2309,1937,372,0,False,True,0,0
H1076,3,2309,2306,3,0,False,True,0,0
H1077,207,2309,2102,207,0,False,True,0,0
H1078,69,2309,2240,69,0,False,True,0,0
H1079,176,2309,2133,176,0,False,True,0,0
H1080,180,2309,2129,180,0,False,True,0,0
H1081,1,2309,2308,1,0,False,True,0,0
H1082,106,2309,2203,106,0,False,True,0,0
H1083,12,2309,2297,12,0,False,True,0,0
H1084,3,2309,2306,3,0,False,True,0,0
H1085,11,2309,2298,11,0,False,True,0,0
H1087,21,2309,2288,21,0,False,True,0,0
H1088,21,2309,2288,21,0,False,True,0,0
H1092,365,2309,1944,365,0,False,True,0,0
H1093,365,2309,1944,365,0,False,True,0,0
H1094,180,2309,2129,180,0,False,True,0,0
H1095,180,2309,2129,180,0,False,True,0,0
H1096,180,2309,2129,180,0,False,True,0,0
H1097,344,2309,1965,344,0,False,True,0,0
H1100,94,2309,2215,94,0,False,True,0,0
H1101,9,2309,2300,9,0,False,True,0,0
H1103,1,2309,2308,1,0,False,True,0,0
H1104,225,2309,2084,225,0,False,True,0,0
H1105,219,2309,2090,219,0,False,True,0,0
H1106,219,2309,2090,219,0,False,True,0,0
H1107,219,2309,2090,219,0,False,True,0,0
H1108,219,2309,2090,219,0,False,True,0,0
H1109,270,2309,2039,270,0,False,True,0,0
H1110,105,2309,2204,105,0,False,True,0,0
H1111,219,2309,2090,219,0,False,True,0,0
H1112,219,2309,2090,219,0,False,True,0,0
H1114,54,2309,2255,54,0,False,True,0,0
H1115,149,2309,2160,149,0,False,True,0,0
H1118,43,2309,2266,43,0,False,True,0,0
H1119,5,2309,2304,5,0,False,True,0,0
H1120,441,2309,1868,441,0,False,True,0,0
H1121,17,2309,2292,17,0,False,True,0,0
H1122,11,2309,2298,11,0,False,True,0,0
H1124,417,2309,1892,417,0,False,True,0,0
H1126,11,2309,2298,11,0,False,True,0,0
H1127,334,2309,1975,334,0,False,True,0,0
H1129,50,2309,2259,50,0,False,True,0,0
H1130,97,2309,2212,97,0,False,True,0,0
H1132,1,2309,2308,1,0,False,True,0,0
H1133,357,2309,1952,357,0,False,True,0,0
H1134,174,2309,2135,174,0,False,True,0,0
H1135,22,2309,2287,22,0,False,True,0,0
H1136,11,2309,2298,11,0,False,True,0,0
H1137,83,2309,2226,83,0,False,True,0,0
H1139,54,2309,2255,54,0,False,True,0,0
H1140,320,2309,1989,320,0,False,True,0,0
H1141,320,2309,1989,320,0,False,True,0,0
H1142,6,2309,2303,6,0,False,True,0,0
H1143,3,2309,2306,3,0,False,True,0,0
H1144,42,2309,2267,42,0,False,True,0,0
H1147,74,2309,2235,74,0,False,True,0,0
H1148,74,2309,2235,74,0,False,True,0,0
H1149,74,2309,2235,74,0,False,True,0,0
H1150,74,2309,2235,74,0,False,True,0,0
H1151,1,2309,2308,1,0,False,True,0,0
H1152,417,2309,1892,417,0,False,True,0,0
H1153,1,2309,2308,1,0,False,True,0,0
H1155,4,2309,2305,4,0,False,True,0,0
H1156,176,2309,2133,176,0,False,True,0,0
H1157,6,2309,2303,6,0,False,True,0,0
H1158,10,2309,2299,10,0,False,True,0,0
H1159,1,2309,2308,1,0,False,True,0,0
H1160,76,2309,2233,76,0,False,True,0,0
H1163,51,2309,2258,51,0,False,True,0,0
H1164,448,2309,1861,448,0,False,True,0,0
H1167,66,2309,2243,66,0,False,True,0,0
H1168,66,2309,2243,66,0,False,True,0,0
H1169,450,2309,1859,450,0,False,True,0,0
H1170,240,2309,2069,240,0,False,True,0,0
H1171,239,2309,2070,239,0,False,True,0,0
H1172,12,2309,2297,12,0,False,True,0,0
H1173,204,2309,2105,204,0,False,True,0,0
H1174,251,2309,2058,251,0,False,True,0,0
H1175,6,2309,2303,6,0,False,True,0,0
H1176,207,2309,2102,207,0,False,True,0,0
H1177,1,2309,2308,1,0,False,True,0,0
H1179,31,2309,2278,31,0,False,True,0,0
H1180,12,2309,2297,12,0,False,True,0,0
H1181,216,2309,2093,216,0,False,True,0,0
H1182,2,2309,2307,2,0,False,True,0,0
H1183,252,2309,2057,252,0,False,True,0,0
H1185,23,2309,2286,23,0,False,True,0,0
H1187,52,2309,2257,52,0,False,True,0,0
H1190,22,2309,2287,22,0,False,True,0,0
H1192,43,2309,2266,43,0,False,True,0,0
H1193,43,2309,2266,43,0,False,True,0,0
H1194,43,2309,2266,43,0,False,True,0,0
H1195,26,2309,2283,26,0,False,True,0,0
H1196,21,2309,2288,21,0,False,True,0,0
H1198,43,2309,2266,43,0,False,True,0,0
H1199,2,2309,2307,2,0,False,True,0,0
H1200,26,2309,2283,26,0,False,True,0,0
H1201,258,2309,2051,258,0,False,True,0,0
H1202,248,2309,2061,248,0,False,True,0,0
H1203,253,2309,2056,253,0,False,True,0,0
H1204,209,2309,2100,209,0,False,True,0,0
H1205,53,2309,2256,53,0,False,True,0,0
H1206,3,2309,2306,3,0,False,True,0,0
H1207,216,2309,2093,216,0,False,True,0,0
H1208,216,2309,2093,216,0,False,True,0,0
H1209,9,2309,2300,9,0,False,True,0,0
H1210,24,2309,2285,24,0,False,True,0,0
H1211,118,2309,2191,118,0,False,True,0,0
H1212,104,2309,2205,104,0,False,True,0,0
H1214,340,2309,1969,340,0,False,True,0,0
H1216,1,2309,2308,1,0,False,True,0,0
H1217,299,2309,2010,299,0,False,True,0,0
H1218,159,2309,2150,159,0,False,True,0,0
H1219,159,2309,2150,159,0,False,True,0,0
H1220,314,2309,1995,314,0,False,True,0,0
H1221,314,2309,1995,314,0,False,True,0,0
H1222,382,2309,1927,382,0,False,True,0,0
H1223,307,2309,2002,307,0,False,True,0,0
H1224,382,2309,1927,382,0,False,True,0,0
H1225,382,2309,1927,382,0,False,True,0,0
H1226,101,2309,2208,101,0,False,True,0,0
H1227,382,2309,1927,382,0,False,True,0,0
H1228,149,2309,2160,149,0,False,True,0,0
H1229,104,2309,2205,104,0,False,True,0,0
H1230,149,2309,2160,149,0,False,True,0,0
H1231,149,2309,2160,149,0,False,True,0,0
H1232,255,2309,2054,255,0,False,True,0,0
H1233,10,2309,2299,10,0,False,True,0,0
H1236,6,2309,2303,6,0,False,True,0,0
H1238,37,2309,2272,37,0,False,True,0,0
H1239,37,2309,2272,37,0,False,True,0,0
H1241,139,2309,2170,139,0,False,True,0,0
H1242,136,2309,2173,136,0,False,True,0,0
H1243,136,2309,2173,136,0,False,True,0,0
H1245,13,2309,2296,13,0,False,True,0,0
H1247,256,2309,2053,256,0,False,True,0,0
H1248,240,2309,2069,240,0,False,True,0,0
H1249,240,2309,2069,240,0,False,True,0,0
H1250,240,2309,2069,240,0,False,True,0,0
H1251,288,2309,2021,288,0,False,True,0,0
H1252,276,2309,2033,276,0,False,True,0,0
H1253,276,2309,2033,276,0,False,True,0,0
H1254,276,2309,2033,276,0,False,True,0,0
