source_node_id,target_node_id,relation_name,source_node_type,target_node_type,derived_reverse
C0053,H0813,compound_in_herb,compound,herb,True
C0053,H0955,compound_in_herb,compound,herb,True
C0053,H0956,compound_in_herb,compound,herb,True
C0053,H1015,compound_in_herb,compound,herb,True
C0053,H1016,compound_in_herb,compound,herb,True
C0053,H1017,compound_in_herb,compound,herb,True
C0053,H1045,compound_in_herb,compound,herb,True
C0053,H1046,compound_in_herb,compound,herb,True
C0053,H1066,compound_in_herb,compound,herb,True
C0053,H1067,compound_in_herb,compound,herb,True
C0053,H1069,compound_in_herb,compound,herb,True
C0053,H1070,compound_in_herb,compound,herb,True
C0053,H1071,compound_in_herb,compound,herb,True
C0053,H1072,compound_in_herb,compound,herb,True
C0053,H1073,compound_in_herb,compound,herb,True
C0053,H1074,compound_in_herb,compound,herb,True
C0053,H1075,compound_in_herb,compound,herb,True
C0053,H1115,compound_in_herb,compound,herb,True
C0053,H1201,compound_in_herb,compound,herb,True
C0053,H1220,compound_in_herb,compound,herb,True
C0053,H1221,compound_in_herb,compound,herb,True
C0053,H1222,compound_in_herb,compound,herb,True
C0053,H1224,compound_in_herb,compound,herb,True
C0053,H1225,compound_in_herb,compound,herb,True
C0053,H1227,compound_in_herb,compound,herb,True
C0053,H1228,compound_in_herb,compound,herb,True
C0053,H1230,compound_in_herb,compound,herb,True
C0053,H1231,compound_in_herb,compound,herb,True
C0054,H0002,compound_in_herb,compound,herb,True
C0054,H0863,compound_in_herb,compound,herb,True
C0054,H1031,compound_in_herb,compound,herb,True
C0054,H1041,compound_in_herb,compound,herb,True
C0054,H1222,compound_in_herb,compound,herb,True
C0054,H1224,compound_in_herb,compound,herb,True
C0054,H1225,compound_in_herb,compound,herb,True
C0054,H1227,compound_in_herb,compound,herb,True
C0060,H0955,compound_in_herb,compound,herb,True
C0060,H0956,compound_in_herb,compound,herb,True
C0061,H0963,compound_in_herb,compound,herb,True
C0063,H0002,compound_in_herb,compound,herb,True
C0063,H0585,compound_in_herb,compound,herb,True
C0063,H0588,compound_in_herb,compound,herb,True
C0063,H0624,compound_in_herb,compound,herb,True
C0063,H0629,compound_in_herb,compound,herb,True
C0063,H0640,compound_in_herb,compound,herb,True
C0063,H0647,compound_in_herb,compound,herb,True
C0063,H0654,compound_in_herb,compound,herb,True
C0063,H0671,compound_in_herb,compound,herb,True
C0063,H0674,compound_in_herb,compound,herb,True
C0063,H0675,compound_in_herb,compound,herb,True
C0063,H0676,compound_in_herb,compound,herb,True
C0063,H0678,compound_in_herb,compound,herb,True
C0063,H0740,compound_in_herb,compound,herb,True
C0063,H0743,compound_in_herb,compound,herb,True
C0063,H0745,compound_in_herb,compound,herb,True
C0063,H0746,compound_in_herb,compound,herb,True
C0063,H0755,compound_in_herb,compound,herb,True
C0063,H0758,compound_in_herb,compound,herb,True
C0063,H0766,compound_in_herb,compound,herb,True
C0063,H0786,compound_in_herb,compound,herb,True
C0063,H0787,compound_in_herb,compound,herb,True
C0063,H0788,compound_in_herb,compound,herb,True
C0063,H0789,compound_in_herb,compound,herb,True
C0063,H0790,compound_in_herb,compound,herb,True
C0063,H0802,compound_in_herb,compound,herb,True
C0063,H0804,compound_in_herb,compound,herb,True
C0063,H0805,compound_in_herb,compound,herb,True
C0063,H0813,compound_in_herb,compound,herb,True
C0063,H0816,compound_in_herb,compound,herb,True
C0063,H0821,compound_in_herb,compound,herb,True
C0063,H0822,compound_in_herb,compound,herb,True
C0063,H0839,compound_in_herb,compound,herb,True
C0063,H0903,compound_in_herb,compound,herb,True
C0063,H0968,compound_in_herb,compound,herb,True
C0063,H0990,compound_in_herb,compound,herb,True
C0063,H1005,compound_in_herb,compound,herb,True
C0063,H1022,compound_in_herb,compound,herb,True
C0063,H1082,compound_in_herb,compound,herb,True
C0063,H1085,compound_in_herb,compound,herb,True
C0063,H1092,compound_in_herb,compound,herb,True
C0063,H1093,compound_in_herb,compound,herb,True
C0063,H1097,compound_in_herb,compound,herb,True
C0063,H1129,compound_in_herb,compound,herb,True
C0063,H1185,compound_in_herb,compound,herb,True
C0063,H1209,compound_in_herb,compound,herb,True
C0063,H1214,compound_in_herb,compound,herb,True
C0064,H0002,compound_in_herb,compound,herb,True
C0064,H0585,compound_in_herb,compound,herb,True
C0064,H0595,compound_in_herb,compound,herb,True
C0064,H0601,compound_in_herb,compound,herb,True
C0064,H0602,compound_in_herb,compound,herb,True
C0064,H0614,compound_in_herb,compound,herb,True
C0064,H0629,compound_in_herb,compound,herb,True
C0064,H0647,compound_in_herb,compound,herb,True
C0064,H0650,compound_in_herb,compound,herb,True
C0064,H0653,compound_in_herb,compound,herb,True
C0064,H0659,compound_in_herb,compound,herb,True
C0064,H0665,compound_in_herb,compound,herb,True
C0064,H0673,compound_in_herb,compound,herb,True
C0064,H0674,compound_in_herb,compound,herb,True
C0064,H0675,compound_in_herb,compound,herb,True
C0064,H0676,compound_in_herb,compound,herb,True
C0064,H0678,compound_in_herb,compound,herb,True
C0064,H0682,compound_in_herb,compound,herb,True
C0064,H0688,compound_in_herb,compound,herb,True
C0064,H0714,compound_in_herb,compound,herb,True
C0064,H0745,compound_in_herb,compound,herb,True
C0064,H0746,compound_in_herb,compound,herb,True
C0064,H0750,compound_in_herb,compound,herb,True
C0064,H0760,compound_in_herb,compound,herb,True
C0064,H0768,compound_in_herb,compound,herb,True
C0064,H0772,compound_in_herb,compound,herb,True
C0064,H0785,compound_in_herb,compound,herb,True
C0064,H0786,compound_in_herb,compound,herb,True
C0064,H0787,compound_in_herb,compound,herb,True
C0064,H0788,compound_in_herb,compound,herb,True
C0064,H0789,compound_in_herb,compound,herb,True
C0064,H0790,compound_in_herb,compound,herb,True
C0064,H0822,compound_in_herb,compound,herb,True
C0064,H0844,compound_in_herb,compound,herb,True
C0064,H0849,compound_in_herb,compound,herb,True
C0064,H0850,compound_in_herb,compound,herb,True
C0064,H0872,compound_in_herb,compound,herb,True
C0064,H0891,compound_in_herb,compound,herb,True
C0064,H0968,compound_in_herb,compound,herb,True
C0064,H0990,compound_in_herb,compound,herb,True
C0064,H0993,compound_in_herb,compound,herb,True
C0064,H0994,compound_in_herb,compound,herb,True
C0064,H1005,compound_in_herb,compound,herb,True
C0064,H1010,compound_in_herb,compound,herb,True
C0064,H1027,compound_in_herb,compound,herb,True
C0064,H1051,compound_in_herb,compound,herb,True
C0064,H1055,compound_in_herb,compound,herb,True
C0064,H1077,compound_in_herb,compound,herb,True
C0064,H1092,compound_in_herb,compound,herb,True
C0064,H1093,compound_in_herb,compound,herb,True
C0064,H1097,compound_in_herb,compound,herb,True
C0064,H1120,compound_in_herb,compound,herb,True
C0064,H1134,compound_in_herb,compound,herb,True
C0064,H1135,compound_in_herb,compound,herb,True
C0064,H1176,compound_in_herb,compound,herb,True
C0064,H1185,compound_in_herb,compound,herb,True
C0064,H1198,compound_in_herb,compound,herb,True
C0064,H1204,compound_in_herb,compound,herb,True
C0064,H1214,compound_in_herb,compound,herb,True
C0064,H1217,compound_in_herb,compound,herb,True
C0064,H1241,compound_in_herb,compound,herb,True
C0064,H1242,compound_in_herb,compound,herb,True
C0064,H1243,compound_in_herb,compound,herb,True
C0065,H0585,compound_in_herb,compound,herb,True
C0065,H0730,compound_in_herb,compound,herb,True
C0065,H0745,compound_in_herb,compound,herb,True
C0065,H0746,compound_in_herb,compound,herb,True
C0065,H1134,compound_in_herb,compound,herb,True
C0065,H1190,compound_in_herb,compound,herb,True
C0067,H0648,compound_in_herb,compound,herb,True
C0067,H0649,compound_in_herb,compound,herb,True
C0067,H0702,compound_in_herb,compound,herb,True
C0067,H0818,compound_in_herb,compound,herb,True
C0067,H0819,compound_in_herb,compound,herb,True
C0067,H0944,compound_in_herb,compound,herb,True
C0067,H0952,compound_in_herb,compound,herb,True
C0067,H1007,compound_in_herb,compound,herb,True
C0067,H1174,compound_in_herb,compound,herb,True
C0067,H1192,compound_in_herb,compound,herb,True
C0067,H1193,compound_in_herb,compound,herb,True
C0067,H1194,compound_in_herb,compound,herb,True
C0068,H0616,compound_in_herb,compound,herb,True
C0070,H1033,compound_in_herb,compound,herb,True
C0071,H1033,compound_in_herb,compound,herb,True
C0072,H0582,compound_in_herb,compound,herb,True
C0072,H0605,compound_in_herb,compound,herb,True
C0072,H0606,compound_in_herb,compound,herb,True
C0072,H0607,compound_in_herb,compound,herb,True
C0072,H0608,compound_in_herb,compound,herb,True
C0072,H0609,compound_in_herb,compound,herb,True
C0072,H0750,compound_in_herb,compound,herb,True
C0072,H0758,compound_in_herb,compound,herb,True
C0072,H0802,compound_in_herb,compound,herb,True
C0072,H0804,compound_in_herb,compound,herb,True
C0072,H0805,compound_in_herb,compound,herb,True
C0072,H0813,compound_in_herb,compound,herb,True
C0072,H1015,compound_in_herb,compound,herb,True
C0072,H1016,compound_in_herb,compound,herb,True
C0072,H1017,compound_in_herb,compound,herb,True
C0072,H1051,compound_in_herb,compound,herb,True
C0072,H1055,compound_in_herb,compound,herb,True
C0072,H1164,compound_in_herb,compound,herb,True
C0072,H1169,compound_in_herb,compound,herb,True
C0072,H1183,compound_in_herb,compound,herb,True
C0073,H0002,compound_in_herb,compound,herb,True
C0073,H0682,compound_in_herb,compound,herb,True
C0073,H0688,compound_in_herb,compound,herb,True
C0073,H0704,compound_in_herb,compound,herb,True
C0073,H0716,compound_in_herb,compound,herb,True
C0073,H0717,compound_in_herb,compound,herb,True
C0073,H0750,compound_in_herb,compound,herb,True
C0073,H0755,compound_in_herb,compound,herb,True
C0073,H0758,compound_in_herb,compound,herb,True
C0073,H0760,compound_in_herb,compound,herb,True
C0073,H0768,compound_in_herb,compound,herb,True
C0073,H0780,compound_in_herb,compound,herb,True
C0073,H0785,compound_in_herb,compound,herb,True
C0073,H0802,compound_in_herb,compound,herb,True
C0073,H0804,compound_in_herb,compound,herb,True
C0073,H0805,compound_in_herb,compound,herb,True
C0073,H0813,compound_in_herb,compound,herb,True
C0073,H0841,compound_in_herb,compound,herb,True
C0073,H0846,compound_in_herb,compound,herb,True
C0073,H0868,compound_in_herb,compound,herb,True
C0073,H0872,compound_in_herb,compound,herb,True
C0073,H0886,compound_in_herb,compound,herb,True
C0073,H0887,compound_in_herb,compound,herb,True
C0073,H0889,compound_in_herb,compound,herb,True
C0073,H0890,compound_in_herb,compound,herb,True
C0073,H0892,compound_in_herb,compound,herb,True
C0073,H0893,compound_in_herb,compound,herb,True
C0073,H0900,compound_in_herb,compound,herb,True
C0073,H0904,compound_in_herb,compound,herb,True
C0073,H0926,compound_in_herb,compound,herb,True
C0073,H0927,compound_in_herb,compound,herb,True
C0073,H0928,compound_in_herb,compound,herb,True
C0073,H0938,compound_in_herb,compound,herb,True
C0073,H0949,compound_in_herb,compound,herb,True
C0073,H0950,compound_in_herb,compound,herb,True
C0073,H0951,compound_in_herb,compound,herb,True
C0073,H0955,compound_in_herb,compound,herb,True
C0073,H0956,compound_in_herb,compound,herb,True
C0073,H0972,compound_in_herb,compound,herb,True
C0073,H0973,compound_in_herb,compound,herb,True
C0073,H1009,compound_in_herb,compound,herb,True
C0073,H1011,compound_in_herb,compound,herb,True
C0073,H1015,compound_in_herb,compound,herb,True
C0073,H1016,compound_in_herb,compound,herb,True
C0073,H1017,compound_in_herb,compound,herb,True
C0073,H1019,compound_in_herb,compound,herb,True
C0073,H1020,compound_in_herb,compound,herb,True
