herb_id,P1_group_signature,P2_group_signature,same_member_set,P2_added_connectivity,difference_reason
H0107,P1SIG_88c1ce97c1fd,P2SIG_88c1ce97c1fd,True,False,
H0108,P1SIG_d27eeec00002,P2SIG_d27eeec00002,True,False,
H0109,P1SIG_acd14e75e933,P2SIG_acd14e75e933,True,False,
H0110,P1SIG_c095131f4657,P2SIG_c095131f4657,True,False,
H0111,P1SIG_828211664a4e,P2SIG_828211664a4e,True,False,
H0112,P1SIG_b0f6e44b98b2,P2SIG_b0f6e44b98b2,True,False,
H0113,P1SIG_242d509d4888,P2SIG_242d509d4888,True,False,
H0114,P1SIG_34f6085f650f,P2SIG_34f6085f650f,True,False,
H0115,P1SIG_14deb49af05a,P2SIG_14deb49af05a,True,False,
H0116,P1SIG_d468ee6f56d8,P2SIG_d468ee6f56d8,True,False,
H0117,P1SIG_9f8cb2888692,P2SIG_9f8cb2888692,True,False,
H0118,P1SIG_c7526dd1e10f,P2SIG_c7526dd1e10f,True,False,
H0119,P1SIG_ddd14028b6a6,P2SIG_ddd14028b6a6,True,False,
H0120,P1SIG_e84f12bdb03b,P2SIG_e84f12bdb03b,True,False,
H0121,P1SIG_ffcacb2d9531,P2SIG_ffcacb2d9531,True,False,
H0122,P1SIG_da878cdb26fe,P2SIG_da878cdb26fe,True,False,
H0123,P1SIG_94692bcf2af9,P2SIG_94692bcf2af9,True,False,
H0124,P1SIG_32687a7f7193,P2SIG_32687a7f7193,True,False,
H0125,P1SIG_04c124fe2872,P2SIG_04c124fe2872,True,False,
H0126,P1SIG_6e9cb680bece,P2SIG_6e9cb680bece,True,False,
H0127,P1SIG_ab3f45c15e77,P2SIG_ab3f45c15e77,True,False,
H0128,P1SIG_5c516e8e020c,P2SIG_5c516e8e020c,True,False,
H0129,P1SIG_d3daefd07e0c,P2SIG_d3daefd07e0c,True,False,
H0130,P1SIG_040d5c2eb105,P2SIG_040d5c2eb105,True,False,
H0131,P1SIG_511bba71b2a4,P2SIG_511bba71b2a4,True,False,
H0132,P1SIG_b036d8e6afc7,P2SIG_b036d8e6afc7,True,False,
H0133,P1SIG_6105dd9d0445,P2SIG_6105dd9d0445,True,False,
H0134,P1SIG_ed6f7e49e92f,P2SIG_ed6f7e49e92f,True,False,
H0135,P1SIG_4cfdd54d2c7a,P2SIG_4cfdd54d2c7a,True,False,
H0136,P1SIG_0e10bda9fc3e,P2SIG_0e10bda9fc3e,True,False,
H0137,P1SIG_9a1b93f73472,P2SIG_9a1b93f73472,True,False,
H0139,P1SIG_43d4b185c587,P2SIG_43d4b185c587,True,False,
H0140,P1SIG_05d279bc2a51,P2SIG_05d279bc2a51,True,False,
H0141,P1SIG_7c40421878f6,P2SIG_7c40421878f6,True,False,
H0142,P1SIG_ac9290ea5120,P2SIG_ac9290ea5120,True,False,
H0143,P1SIG_d366eacaa79b,P2SIG_d366eacaa79b,True,False,
H0144,P1SIG_4feb6e715361,P2SIG_4feb6e715361,True,False,
H0145,P1SIG_ad615e372662,P2SIG_ad615e372662,True,False,
H0146,P1SIG_b481f9e19d80,P2SIG_b481f9e19d80,True,False,
H0147,P1SIG_1ab4c80fee92,P2SIG_1ab4c80fee92,True,False,
H0148,P1SIG_f0239922bdad,P2SIG_f0239922bdad,True,False,
H0149,P1SIG_e4e1de1db9ff,P2SIG_e4e1de1db9ff,True,False,
H0150,P1SIG_785b5dac4f43,P2SIG_785b5dac4f43,True,False,
H0151,P1SIG_f40f1a788222,P2SIG_f40f1a788222,True,False,
H0152,P1SIG_3a6131f78e9d,P2SIG_3a6131f78e9d,True,False,
H0153,P1SIG_419503b33a51,P2SIG_419503b33a51,True,False,
H0154,P1SIG_b25e7c832a06,P2SIG_b25e7c832a06,True,False,
H0155,P1SIG_2edd65079091,P2SIG_2edd65079091,True,False,
H0156,P1SIG_17085bc9d05c,P2SIG_17085bc9d05c,True,False,
H0157,P1SIG_512f498377a2,P2SIG_512f498377a2,True,False,
H0158,P1SIG_d0e0b94b6933,P2SIG_d0e0b94b6933,True,False,
H0159,P1SIG_4c56ff943698,P2SIG_4c56ff943698,True,False,
H0160,P1SIG_a751ce8e8ceb,P2SIG_a751ce8e8ceb,True,False,
H0161,P1SIG_3895046302e1,P2SIG_3895046302e1,True,False,
H0162,P1SIG_7af5cb1f6b2d,P2SIG_7af5cb1f6b2d,True,False,
H0163,P1SIG_bc6d8e1f19f4,P2SIG_bc6d8e1f19f4,True,False,
H0164,P1SIG_b40ff5a8d10f,P2SIG_b40ff5a8d10f,True,False,
H0165,P1SIG_a14e49dc1be2,P2SIG_a14e49dc1be2,True,False,
